titulo;barrio;precio;metros;habitaciones;banos;planta;ascensor;garaje;terraza;aire;amueblado;reformado;url
Ático en Cuatro Caminos, Madrid;Cuatro Caminos;2300;103;3;2;9;1;1;1;1;0;1;https://www.idealista.com/inmueble/110208471/
Piso en Calle de Pedro Teixeira, Cuatro Caminos, Madrid;Cuatro Caminos;6500;198;4;5;12;1;1;0;1;1;1;https://www.idealista.com/inmueble/106660802/
Piso en Calle de la Fuente de Torrejona, 6, Casco Histórico de Barajas, Madrid;Barajas;1250;74;3;1;0;1;1;0;0;0;0;https://www.idealista.com/inmueble/110208436/
Piso en Calle de Juan de Urbieta, Niño Jesús, Madrid;Niño Jesús;3900;245;4;3;3;1;1;0;1;1;0;https://www.idealista.com/inmueble/106854344/
Piso en Calle Bahía de Palma, 7, Campo de las Naciones-Corralejos, Madrid;Otros Madrid;1320;80;2;2;1;1;0;0;1;0;0;https://www.idealista.com/inmueble/99801523/
Ático en Calle de Peña de Francia, 8, Lavapiés-Embajadores, Madrid;Lavapiés;1580;46;1;1;4;1;0;1;1;1;1;https://www.idealista.com/inmueble/105017179/
Ático en Calle de Pablo Vidal, Colina, Madrid;Otros Madrid;2200;80;2;2;3;1;1;1;1;0;1;https://www.idealista.com/inmueble/108763850/
Chalet adosado en Canillas, Madrid;Otros Madrid;7000;480;6;4;-1;1;1;1;1;0;0;https://www.idealista.com/inmueble/40043599/
Piso en Calle de Eraso, 41, Guindalera, Madrid;Guindalera;1300;52;1;1;-1;1;1;0;1;1;0;https://www.idealista.com/inmueble/103483537/
Piso en Calle de Peña de Francia, 8, Lavapiés-Embajadores, Madrid;Lavapiés;1380;46;1;1;2;1;0;1;1;1;1;https://www.idealista.com/inmueble/104964703/
Piso en Calle del Lago Constanza, 47, Pueblo Nuevo, Madrid;Pueblo Nuevo;1200;45;2;1;0;1;0;0;1;1;1;https://www.idealista.com/inmueble/110208156/
Piso en Calle Tulipero, 6, Buena Vista, Madrid;Otros Madrid;1240;34;2;1;-1;1;1;0;1;1;0;https://www.idealista.com/inmueble/107249633/
Estudio en Calle de Canarias, Palos de la Frontera, Madrid;Otros Madrid;750;18;0;1;5;0;0;0;0;1;0;https://www.idealista.com/inmueble/110208173/
Estudio en Calle Tulipero, 6, Buena Vista, Madrid;Otros Madrid;920;22;0;1;3;1;1;1;1;1;0;https://www.idealista.com/inmueble/107249437/
Piso en Calle de Uceda, 25, Palomeras Bajas, Madrid;Otros Madrid;760;40;1;1;1;1;0;0;0;1;1;https://www.idealista.com/inmueble/110206620/
Estudio en Calle Tulipero, 6, Buena Vista, Madrid;Otros Madrid;920;22;0;1;2;1;1;1;1;1;0;https://www.idealista.com/inmueble/107249284/
Estudio en Calle Aguileñas, Ventilla-Almenara, Madrid;Almenara;1200;45;0;1;0;1;0;0;1;1;1;https://www.idealista.com/inmueble/110207990/
Piso en Gaztambide, Madrid;Gaztambide;2700;120;4;2;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/110148172/
Piso en Calle del Tutor, Argüelles, Madrid;Argüelles;2000;59;2;2;2;1;0;0;1;1;1;https://www.idealista.com/inmueble/110207988/
Piso en Calle de Estanislao Pérez Pita, Valdebebas - Valdefuentes, Madrid;Valdebebas;2500;122;3;2;6;1;1;1;1;1;0;https://www.idealista.com/inmueble/110053679/
Estudio en Calle de Bolivia, Nueva España, Madrid;Nueva España;1100;45;0;1;1;1;0;0;1;1;1;https://www.idealista.com/inmueble/110207937/
Estudio en Calle Felipe Campos, El Viso, Madrid;El Viso;1150;35;0;1;2;1;0;1;1;1;1;https://www.idealista.com/inmueble/96858385/
Piso en Calle de Guzmán el Bueno, Gaztambide, Madrid;Gaztambide;1600;82;2;2;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/110207925/
Piso en Paseo de la Castellana, Castilla, Madrid;Castellana;3500;185;4;3;4;1;1;1;1;0;1;https://www.idealista.com/inmueble/109235255/
Piso en Plaza Joaquín Dicenta, Ventilla-Almenara, Madrid;Almenara;2050;102;2;2;2;1;1;0;1;1;0;https://www.idealista.com/inmueble/110207921/
Piso en Calle de Vicente Blasco Ibáñez, Sanchinarro, Madrid;Sanchinarro;1950;130;3;2;2;1;1;1;1;0;0;https://www.idealista.com/inmueble/35375793/
Piso en Ventilla-Almenara, Madrid;Almenara;2250;120;3;2;1;1;0;1;1;1;0;https://www.idealista.com/inmueble/110207765/
Piso en Calle de Ana de Austria, Sanchinarro, Madrid;Sanchinarro;1750;120;3;2;1;1;1;0;1;0;0;https://www.idealista.com/inmueble/110070645/
Estudio en Calle de Machaquito, 45, Conde Orgaz-Piovera, Madrid;Otros Madrid;1250;40;0;1;1;1;0;1;1;1;0;https://www.idealista.com/inmueble/89285475/
Piso en Francisco Suarez, Madrid, Nueva España, Madrid;Nueva España;1500;65;1;1;2;1;1;0;1;0;1;https://www.idealista.com/inmueble/82172997/
Dúplex en Calle pérez ayuso, 8, Ciudad Jardín, Madrid;Ciudad Jardín;1400;60;1;1;3;1;1;1;1;0;0;https://www.idealista.com/inmueble/33329548/
