titulo;barrio;precio;metros;habitaciones;banos;planta;ascensor;garaje;terraza;aire;amueblado;reformado;url;precio_m2;es_piso_alto;es_estudio;metros_por_habitacion;log_precio;penalizacion_sin_ascensor;score_calidad
Piso en Calle de Cazalegas, 5, Abrantes, Madrid;Abrantes;1250;75;2;2;7;1;1;0;0;0;0;https://www.idealista.com/inmueble/109305791/;16.67;1;0;37.5;7.1308988302963465;0;2
Piso en CL Villa De Arbancon, Acacias, Madrid;Acacias;1875;94;3;1;6;0;0;0;0;0;0;https://www.idealista.com/inmueble/109494373/;19.95;1;0;31.33;7.536363938404511;1;0
Ático en Calle de Carmen Cobeña, Acacias, Madrid;Acacias;2650;98;3;2;5;1;1;1;1;0;1;https://www.idealista.com/inmueble/108983331/;27.04;1;0;32.67;7.882314918980268;0;5
Piso en Plaza de las Peñuelas, Acacias, Madrid;Acacias;1900;70;2;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/110181327/;27.14;0;0;35.0;7.549609165154532;0;0
Piso en Ps j a Vallejo-najera Botas, Acacias, Madrid;Acacias;1240;63;1;1;3;0;0;0;0;0;0;https://www.idealista.com/inmueble/110180813/;19.68;1;0;63.0;7.122866658599083;1;0
Piso en Paseo de la Esperanza, 22, Acacias, Madrid;Acacias;1600;81;2;1;7;1;1;1;1;0;1;https://www.idealista.com/inmueble/30553517/;19.75;1;0;40.5;7.3777589082278725;0;5
Piso en Paseo De La Esperanza, 22, Acacias, Madrid;Acacias;1600;66;2;2;4;1;1;1;1;0;0;https://www.idealista.com/inmueble/97963665/;24.24;1;0;33.0;7.3777589082278725;0;4
Piso en Paseo de la Esperanza, 22, Acacias, Madrid;Acacias;1300;50;1;1;7;1;1;1;1;0;1;https://www.idealista.com/inmueble/108532844/;26.0;1;0;50.0;7.170119543449628;0;5
Piso en Paseo De La Esperanza, 22, Acacias, Madrid;Acacias;1500;81;2;2;3;1;1;1;1;0;1;https://www.idealista.com/inmueble/94296749/;18.52;1;0;40.5;7.313220387090301;0;5
Piso en Calle de San Isidoro de Sevilla, Acacias, Madrid;Acacias;1300;56;2;2;1;1;0;0;0;0;0;https://www.idealista.com/inmueble/109291692/;23.21;0;0;28.0;7.170119543449628;0;1
Ático en Calle de Baños de Montemayor, Acacias, Madrid;Acacias;1500;75;3;1;6;1;0;1;0;0;0;https://www.idealista.com/inmueble/110185711/;20.0;1;0;25.0;7.313220387090301;0;2
Piso en Calle Valeria, 1, Adelfas, Madrid;Adelfas;1100;55;1;1;3;1;0;1;1;0;0;https://www.idealista.com/inmueble/110206467/;20.0;1;0;55.0;7.003065458786462;0;3
Piso en Avenida de la Ciudad de Barcelona, 218, Adelfas, Madrid;Adelfas;1850;135;3;2;5;1;1;0;1;0;0;https://www.idealista.com/inmueble/95566019/;13.7;1;0;45.0;7.52294091807237;0;3
Piso en Calle de Játiva, Adelfas, Madrid;Adelfas;1700;106;3;1;5;0;0;0;0;0;0;https://www.idealista.com/inmueble/110204723/;16.04;1;0;35.33;7.438383530044307;1;0
Piso en Calle de Martínez Corrochano, Adelfas, Madrid;Adelfas;1600;75;2;1;3;1;1;1;1;1;0;https://www.idealista.com/inmueble/105682280/;21.33;1;0;37.5;7.3777589082278725;0;5
Piso en Calle de Federico Moreno Torroba, Adelfas, Madrid;Adelfas;2300;148;4;2;6;1;1;1;1;0;0;https://www.idealista.com/inmueble/110023852/;15.54;1;0;37.0;7.7406644019172415;0;4
Piso en Calle de Seco, 13, Adelfas, Madrid;Adelfas;1115;60;1;1;7;1;1;0;0;0;1;https://www.idealista.com/inmueble/109832746/;18.58;1;0;60.0;7.016609683894219;0;3
Piso en Calle de Seco, 13, Adelfas, Madrid;Adelfas;1069;64;1;1;1;1;1;0;0;0;1;https://www.idealista.com/inmueble/109832675/;16.7;0;0;64.0;6.974478911025045;0;3
Piso en Calle de Seco, 13, Adelfas, Madrid;Adelfas;942;64;1;1;7;1;1;0;0;0;1;https://www.idealista.com/inmueble/109832592/;14.72;1;0;64.0;6.848005274576363;0;3
